original_email_address,mail_provider,provider_domain_type,username_length,num_of_textual_tokens,first_name,first_name_length,has_dot,has_underscore,has_dash,has_capital_letters,number_numeric_tokens,numeric_token,length_of_numeric_token,possible_age,label
Clement.Stamm37@gmail.com,gmail,com,15,2,clement,7,1,0,0,1,1,37,2,87,old
emma.johnson1999@outlook.com,outlook,com,16,2,emma,4,1,0,0,0,1,1999,4,25,young
Alanna.Bode-Altenwerth66@yahoo.com,yahoo,com,24,3,alanna,6,1,0,1,1,1,66,2,58,old
rebecca.scott@outlook.com,outlook,com,13,2,rebecca,7,1,0,0,0,0,-1,0,-1,unsure
Chanelle71@outlook.com,outlook,com,10,1,chanelle,8,0,0,0,1,1,71,2,53,old
logan_turner1998@outlook.com,outlook,com,16,2,logan,5,0,1,0,0,1,1998,4,26,young
emily.smith06@outlook.com,outlook,com,13,2,emily,5,1,0,0,0,1,6,2,18,young
kevin_2003thompson@gmail.com,gmail,com,18,2,kevin,5,0,1,0,0,1,2003,4,21,young
mark.smith2004@gmail.com,gmail,com,14,2,mark,4,1,0,0,0,1,2004,4,20,young
Kameron21@mail.com,mail,com,9,1,kameron,7,0,0,0,1,1,21,2,-1,unsure
thomas.hall@gmail.com,gmail,com,11,2,thomas,6,1,0,0,0,0,-1,0,-1,unsure
logan.turner98@outlook.com,outlook,com,14,2,logan,5,1,0,0,0,1,98,2,26,young
Joana.Zboncak@icloud.com,icloud,com,13,2,joana,5,1,0,0,1,0,-1,0,-1,unsure
rachel.perez45@icloud.com,icloud,com,14,2,rachel,6,1,0,0,0,1,45,2,79,old
Giovanni_Tremblay60@aol.com,aol,com,19,2,giovanni,8,0,1,0,1,1,60,2,64,old
megan.wilson21@hotmail.com,hotmail,com,14,2,megan,5,1,0,0,0,1,21,2,-1,unsure
rebecca.bryant@protonmail.com,protonmail,com,14,2,rebecca,7,1,0,0,0,0,-1,0,-1,unsure
Neal.McGlynn@gmail.com,gmail,com,12,2,neal,4,1,0,0,1,0,-1,0,-1,unsure
rachel11_flare@icloud.com,icloud,com,14,2,rachel,6,0,1,0,0,1,11,2,-1,unsure
david.roberts81@gmail.com,gmail,com,15,2,david,5,1,0,0,0,1,81,2,43,medium
Mekhi60@icloud.com,icloud,com,7,1,mekhi,5,0,0,0,1,1,60,2,64,old
Evan93@yahoo.com,yahoo,com,6,1,evan,4,0,0,0,1,1,93,2,31,medium
rachel.bailey1723@gmail.com,gmail,com,17,2,rachel,6,1,0,0,0,1,1723,4,-1,unsure
hannah_8764hill@icloud.com,icloud,com,15,2,hannah,6,0,1,0,0,1,8764,4,-1,unsure
sophia.jones03@gmail.com,gmail,com,14,2,sophia,6,1,0,0,0,1,3,2,21,young
elizabeth.roberts@hotmail.com,hotmail,com,17,2,elizabeth,9,1,0,0,0,0,-1,0,-1,unsure
Susan13@tutanota.com,tutanota,com,7,1,susan,5,0,0,0,1,1,13,2,-1,unsure
madeline.ross05@aol.com,aol,com,15,2,madeline,8,1,0,0,0,1,5,2,19,young
victoria_james2005@gmail.com,gmail,com,18,2,victoria,8,0,1,0,0,1,2005,4,19,young
Jaclyn_Cole@gmail.com,gmail,com,11,2,jaclyn,6,0,1,0,1,0,-1,0,-1,unsure
Shawn.Rowe58@tutanota.com,tutanota,com,12,2,shawn,5,1,0,0,1,1,58,2,66,old
logan_wright2003@gmail.com,gmail,com,16,2,logan,5,0,1,0,0,1,2003,4,21,young
thomas.jones@hotmail.com,hotmail,com,12,2,thomas,6,1,0,0,0,0,-1,0,-1,unsure
emma76_flash@gmail.com,gmail,com,12,2,emma,4,0,1,0,0,1,76,2,48,medium
nathan_martin2003@gmail.com,gmail,com,17,2,nathan,6,0,1,0,0,1,2003,4,21,young
Adaline.Mills@gmail.com,gmail,com,13,2,adaline,7,1,0,0,1,0,-1,0,-1,unsure
Zoie73@outlook.com,outlook,com,6,1,zoie,4,0,0,0,1,1,73,2,51,old
jacob_green2005@yahoo.com,yahoo,com,15,2,jacob,5,0,1,0,0,1,2005,4,19,young
sophia.adams@yahoo.com,yahoo,com,12,2,sophia,6,1,0,0,0,0,-1,0,-1,unsure
samuel.morgan@gmail.com,gmail,com,13,2,samuel,6,1,0,0,0,0,-1,0,-1,unsure
matthew.adams@protonmail.com,protonmail,com,13,2,matthew,7,1,0,0,0,0,-1,0,-1,unsure
Zita.Herman35@outlook.com,outlook,com,13,2,zita,4,1,0,0,1,1,35,2,89,old
Darrel_Roberts15@protonmail.com,protonmail,com,16,2,darrel,6,0,1,0,1,1,15,2,-1,unsure
Nathen.Boehm@protonmail.com,protonmail,com,12,2,nathen,6,1,0,0,1,0,-1,0,-1,unsure
lily.thompson57@aol.com,aol,com,15,2,lily,4,1,0,0,0,1,57,2,67,old
noah5563@yahoo.com,yahoo,com,8,1,noah,4,0,0,0,0,1,5563,4,-1,unsure
adam.henderson32@gmail.com,gmail,com,16,2,adam,4,1,0,0,0,1,32,2,92,old
andrew36_burn@hotmail.com,hotmail,com,13,2,andrew,6,0,1,0,0,1,36,2,88,old
Jayden48@mail.com,mail,com,8,1,jayden,6,0,0,0,1,1,48,2,76,old
Patrick.Johnston@aol.com,aol,com,16,2,patrick,7,1,0,0,1,0,-1,0,-1,unsure
Julien_Mayert51@aol.com,aol,com,15,2,julien,6,0,1,0,1,1,51,2,73,old
matthew.baker@hotmail.com,hotmail,com,13,2,matthew,7,1,0,0,0,0,-1,0,-1,unsure
Sofia64@mail.com,mail,com,7,1,sofia,5,0,0,0,1,1,64,2,60,old
Meredith_Hansen@gmail.com,gmail,com,15,2,meredith,8,0,1,0,1,0,-1,0,-1,unsure
2003_samuel_white@organization.org,organization,org,17,2,samuel,6,0,1,0,0,1,2003,4,21,young
amanda.king99@hotmail.com,hotmail,com,13,2,amanda,6,1,0,0,0,1,99,2,25,young
Nora_Turcotte@icloud.com,icloud,com,13,2,nora,4,0,1,0,1,0,-1,0,-1,unsure
Hailee_Kuhic58@aol.com,aol,com,14,2,hailee,6,0,1,0,1,1,58,2,66,old
daniel.taylor88@outlook.com,outlook,com,15,2,daniel,6,1,0,0,0,1,88,2,36,medium
Melody.OReilly32@tutanota.com,tutanota,com,16,2,melody,6,1,0,0,1,1,32,2,92,old
paul.baker@aol.com,aol,com,10,2,paul,4,1,0,0,0,0,-1,0,-1,unsure
Frank_Herzog@tutanota.com,tutanota,com,12,2,frank,5,0,1,0,1,0,-1,0,-1,unsure
michael_93.johnson@college.edu,college,edu,18,2,michael,7,1,1,0,0,1,93,2,31,medium
james21_shine@gmail.com,gmail,com,13,2,james,5,0,1,0,0,1,21,2,-1,unsure
madeline.ross05@aol.com,aol,com,15,2,madeline,8,1,0,0,0,1,5,2,19,young
Pansy17@protonmail.com,protonmail,com,7,1,pansy,5,0,0,0,1,1,17,2,-1,unsure
amanda_williams12356@icloud.com,icloud,com,20,2,amanda,6,0,1,0,0,1,12356,5,-1,unsure
david.clark@protonmail.com,protonmail,com,11,2,david,5,1,0,0,0,0,-1,0,-1,unsure
caleb.phillips67@icloud.com,icloud,com,16,2,caleb,5,1,0,0,0,1,67,2,57,old
1987_rachel.s@gmail.com,gmail,com,13,2,rachel,6,1,1,0,0,1,1987,4,37,medium
margaret.anderson1782@gmail.com,gmail,com,21,2,margaret,8,1,0,0,0,1,1782,4,-1,unsure
matthew.lewis@gmail.com,gmail,com,13,2,matthew,7,1,0,0,0,0,-1,0,-1,unsure
Carlie.Conroy@aol.com,aol,com,13,2,carlie,6,1,0,0,1,0,-1,0,-1,unsure
claire81_flicker@yahoo.com,yahoo,com,16,2,claire,6,0,1,0,0,1,81,2,43,medium
joshua.bell00@gmail.com,gmail,com,13,2,joshua,6,1,0,0,0,1,0,2,24,young
mason.watson04@hotmail.com,hotmail,com,14,2,mason,5,1,0,0,0,1,4,2,20,young
victoria_kelly2003@protonmail.com,protonmail,com,18,2,victoria,8,0,1,0,0,1,2003,4,21,young
jason.barnes90@gmail.com,gmail,com,14,2,jason,5,1,0,0,0,1,90,2,34,medium
simon.peters@hotmail.com,hotmail,com,12,2,simon,5,1,0,0,0,0,-1,0,-1,unsure
martha.young1792@gmail.com,gmail,com,16,2,martha,6,1,0,0,0,1,1792,4,-1,unsure
Nikolas54@outlook.com,outlook,com,9,1,nikolas,7,0,0,0,1,1,54,2,70,old
caleb78_bright@icloud.com,icloud,com,14,2,caleb,5,0,1,0,0,1,78,2,46,medium
james_jones10000@gmail.com,gmail,com,16,2,james,5,0,1,0,0,1,10000,5,-1,unsure
Carroll_Armstrong92@mail.com,mail,com,19,2,carroll,7,0,1,0,1,1,92,2,32,medium
Annabelle.Schaden-Jakubowski82@icloud.com,icloud,com,30,3,annabelle,9,1,0,1,1,1,82,2,42,medium
mary.james@icloud.com,icloud,com,10,2,mary,4,1,0,0,0,0,-1,0,-1,unsure
megan_wilson4321@hotmail.com,hotmail,com,16,2,megan,5,0,1,0,0,1,4321,4,-1,unsure
emily_clark.91@mail.service.com,mail.service,com,14,2,emily,5,1,1,0,0,1,91,2,33,medium
Kaleigh72@mail.com,mail,com,9,1,kaleigh,7,0,0,0,1,1,72,2,52,old
Jed_Gutmann-Heidenreich18@protonmail.com,protonmail,com,25,3,jed,3,0,1,1,1,1,18,2,-1,unsure
james.jones00@gmail.com,gmail,com,13,2,james,5,1,0,0,0,1,0,2,24,young
tyler_hayes1986@gmail.com,gmail,com,15,2,tyler,5,0,1,0,0,1,1986,4,38,medium
Claudia.Osinski-Pollich46@gmail.com,gmail,com,25,3,claudia,7,1,0,1,1,1,46,2,78,old
andrew.james64@hotmail.com,hotmail,com,14,2,andrew,6,1,0,0,0,1,64,2,60,old
logan_1095johnson@outlook.com,outlook,com,17,2,logan,5,0,1,0,0,1,1095,4,-1,unsure
Rhea.Gislason63@mail.com,mail,com,15,2,rhea,4,1,0,0,1,1,63,2,61,old
Gerson.Feest71@gmail.com,gmail,com,14,2,gerson,6,1,0,0,1,1,71,2,53,old
carter.james99@hotmail.com,hotmail,com,14,2,carter,6,1,0,0,0,1,99,2,25,young
Cali_Zieme24@aol.com,aol,com,12,2,cali,4,0,1,0,1,1,24,2,100,old
lily_thompson5678@aol.com,aol,com,17,2,lily,4,0,1,0,0,1,5678,4,-1,unsure
Julianne_Larkin39@yahoo.com,yahoo,com,17,2,julianne,8,0,1,0,1,1,39,2,85,old
stephanie.2002clark@gmail.com,gmail,com,19,2,stephanie,9,1,0,0,0,1,2002,4,22,young
laura.baker45@icloud.com,icloud,com,13,2,laura,5,1,0,0,0,1,45,2,79,old
robert23_spark@protonmail.com,protonmail,com,14,2,robert,6,0,1,0,0,1,23,2,-1,unsure
Jewell.Stark@aol.com,aol,com,12,2,jewell,6,1,0,0,1,0,-1,0,-1,unsure
Shyann_Herzog14@aol.com,aol,com,15,2,shyann,6,0,1,0,1,1,14,2,-1,unsure
megan_patel1994@gmail.com,gmail,com,15,2,megan,5,0,1,0,0,1,1994,4,30,medium
ethan_bell1988@gmail.com,gmail,com,14,2,ethan,5,0,1,0,0,1,1988,4,36,medium
ryan_watson2001@hotmail.com,hotmail,com,15,2,ryan,4,0,1,0,0,1,2001,4,23,young
christopher89_bell@sub.company.com,sub.company,com,18,2,christopher,11,0,1,0,0,1,89,2,35,medium
Shaniya11@gmail.com,gmail,com,9,1,shaniya,7,0,0,0,1,1,11,2,-1,unsure
Aurore29@tutanota.com,tutanota,com,8,1,aurore,6,0,0,0,1,1,29,2,95,old
matthew.hill1802@gmail.com,gmail,com,16,2,matthew,7,1,0,0,0,1,1802,4,-1,unsure
Jordi_Aufderhar56@gmail.com,gmail,com,17,2,jordi,5,0,1,0,1,1,56,2,68,old
caleb.phillips67@icloud.com,icloud,com,16,2,caleb,5,1,0,0,0,1,67,2,57,old
tyler.hayes86@gmail.com,gmail,com,13,2,tyler,5,1,0,0,0,1,86,2,38,medium
Cayla82@tutanota.com,tutanota,com,7,1,cayla,5,0,0,0,1,1,82,2,42,medium
zoe_bryant43219@aol.com,aol,com,15,2,zoe,3,0,1,0,0,1,43219,5,-1,unsure
Heaven8@yahoo.com,yahoo,com,7,1,heaven,6,0,0,0,1,1,8,1,-1,unsure
Tyler_Walter@gmail.com,gmail,com,12,2,tyler,5,0,1,0,1,0,-1,0,-1,unsure
ryan.watson01@hotmail.com,hotmail,com,13,2,ryan,4,1,0,0,0,1,1,2,23,young
david_2000@aol.com,aol,com,10,1,david,5,0,1,0,0,1,2000,4,24,young
Johnpaul.Robel68@tutanota.com,tutanota,com,16,2,johnpaul,8,1,0,0,1,1,68,2,56,old
alice_3890.brown@company.co.uk,company.co,uk,16,2,alice,5,1,1,0,0,1,3890,4,-1,unsure
hailey_price1239@protonmail.com,protonmail,com,16,2,hailey,6,0,1,0,0,1,1239,4,-1,unsure
rachel_evans2006@gmail.com,gmail,com,16,2,rachel,6,0,1,0,0,1,2006,4,18,young
chris_lee8769@hotmail.com,hotmail,com,13,2,chris,5,0,1,0,0,1,8769,4,-1,unsure
Napoleon_Braun@protonmail.com,protonmail,com,14,2,napoleon,8,0,1,0,1,0,-1,0,-1,unsure
olivia24_flash@gmail.com,gmail,com,14,2,olivia,6,0,1,0,0,1,24,2,100,old
mary.bryant@outlook.com,outlook,com,11,2,mary,4,1,0,0,0,0,-1,0,-1,unsure
Dangelo.Gorczany30@aol.com,aol,com,18,2,dangelo,7,1,0,0,1,1,30,2,94,old
Gianni72@outlook.com,outlook,com,8,1,gianni,6,0,0,0,1,1,72,2,52,old
henry.thomas1693@gmail.com,gmail,com,16,2,henry,5,1,0,0,0,1,1693,4,-1,unsure
lucy.green1749@gmail.com,gmail,com,14,2,lucy,4,1,0,0,0,1,1749,4,-1,unsure
david.thomas@gmail.com,gmail,com,12,2,david,5,1,0,0,0,0,-1,0,-1,unsure
anna.hall87@yahoo.com,yahoo,com,11,2,anna,4,1,0,0,0,1,87,2,37,medium
Dejuan_Herzog47@icloud.com,icloud,com,15,2,dejuan,6,0,1,0,1,1,47,2,77,old
olivia.smith999@yahoo.com,yahoo,com,15,2,olivia,6,1,0,0,0,1,999,3,-1,unsure
Alanna.Connelly84@outlook.com,outlook,com,17,2,alanna,6,1,0,0,1,1,84,2,40,medium
Queenie55@gmail.com,gmail,com,9,1,queenie,7,0,0,0,1,1,55,2,69,old
hailey.sanders67@gmail.com,gmail,com,16,2,hailey,6,1,0,0,0,1,67,2,57,old
joshua_carter1980@gmail.com,gmail,com,17,2,joshua,6,0,1,0,0,1,1980,4,44,medium
james.walker@outlook.com,outlook,com,12,2,james,5,1,0,0,0,0,-1,0,-1,unsure
Cassandra_Flatley54@gmail.com,gmail,com,19,2,cassandra,9,0,1,0,1,1,54,2,70,old
william.green@aol.com,aol,com,13,2,william,7,1,0,0,0,0,-1,0,-1,unsure
nathan.brooks@icloud.com,icloud,com,13,2,nathan,6,1,0,0,0,0,-1,0,-1,unsure
Delphine8@tutanota.com,tutanota,com,9,1,delphine,8,0,0,0,1,1,8,1,-1,unsure
Adela_Mertz@mail.com,mail,com,11,2,adela,5,0,1,0,1,0,-1,0,-1,unsure
alexis.cooper92@gmail.com,gmail,com,15,2,alexis,6,1,0,0,0,1,92,2,32,medium
jason_brown1985@gmail.com,gmail,com,15,2,jason,5,0,1,0,0,1,1985,4,39,medium
amelia.simmons@yahoo.com,yahoo,com,14,2,amelia,6,1,0,0,0,0,-1,0,-1,unsure
Jonatan.Kassulke@gmail.com,gmail,com,16,2,jonatan,7,1,0,0,1,0,-1,0,-1,unsure
ben_4561doe@gmail.com,gmail,com,11,2,ben,3,0,1,0,0,1,4561,4,-1,unsure
jason.barnes90@gmail.com,gmail,com,14,2,jason,5,1,0,0,0,1,90,2,34,medium
laura1990_davis@gmail.com,gmail,com,15,2,laura,5,0,1,0,0,1,1990,4,34,medium
Oleta44@protonmail.com,protonmail,com,7,1,oleta,5,0,0,0,1,1,44,2,80,old
olivia2003_clark@hotmail.com,hotmail,com,16,2,olivia,6,0,1,0,0,1,2003,4,21,young
anna1999@outlook.com,outlook,com,8,1,anna,4,0,0,0,0,1,1999,4,25,young
rachel.perez45@icloud.com,icloud,com,14,2,rachel,6,1,0,0,0,1,45,2,79,old
Juston81@outlook.com,outlook,com,8,1,juston,6,0,0,0,1,1,81,2,43,medium
Percy92@protonmail.com,protonmail,com,7,1,percy,5,0,0,0,1,1,92,2,32,medium
Markus.Goldner41@gmail.com,gmail,com,16,2,markus,6,1,0,0,1,1,41,2,83,old
daniel_scott1980@outlook.com,outlook,com,16,2,daniel,6,0,1,0,0,1,1980,4,44,medium
Adelle_Rolfson24@gmail.com,gmail,com,16,2,adelle,6,0,1,0,1,1,24,2,100,old
catherine.allen@icloud.com,icloud,com,15,2,catherine,9,1,0,0,0,0,-1,0,-1,unsure
Janae99@gmail.com,gmail,com,7,1,janae,5,0,0,0,1,1,99,2,25,young
edward.walker1756@gmail.com,gmail,com,17,2,edward,6,1,0,0,0,1,1756,4,-1,unsure
laura88_smith@yahoo.com,yahoo,com,13,2,laura,5,0,1,0,0,1,88,2,36,medium
Gerson_Larson99@gmail.com,gmail,com,15,2,gerson,6,0,1,0,1,1,99,2,25,young
Marianna_Pfeffer@gmail.com,gmail,com,16,2,marianna,8,0,1,0,1,0,-1,0,-1,unsure
Zackery_Rippin91@gmail.com,gmail,com,16,2,zackery,7,0,1,0,1,1,91,2,33,medium
Moshe_Hilpert@tutanota.com,tutanota,com,13,2,moshe,5,0,1,0,1,0,-1,0,-1,unsure
eliza.jackson@hotmail.com,hotmail,com,13,2,eliza,5,1,0,0,0,0,-1,0,-1,unsure
abigail_cook1992@gmail.com,gmail,com,16,2,abigail,7,0,1,0,0,1,1992,4,32,medium
john.doe1990@sub.domain.com,sub.domain,com,12,2,john,4,1,0,0,0,1,1990,4,34,medium
robert_white1990@gmail.com,gmail,com,16,2,robert,6,0,1,0,0,1,1990,4,34,medium
sophia87_blaze@outlook.com,outlook,com,14,2,sophia,6,0,1,0,0,1,87,2,37,medium
kevin57_flame@outlook.com,outlook,com,13,2,kevin,5,0,1,0,0,1,57,2,67,old
sophia.jones03@gmail.com,gmail,com,14,2,sophia,6,1,0,0,0,1,3,2,21,young
hailey88_flame@protonmail.com,protonmail,com,14,2,hailey,6,0,1,0,0,1,88,2,36,medium
Julien80@tutanota.com,tutanota,com,8,1,julien,6,0,0,0,1,1,80,2,44,medium
Gretchen.Nikolaus33@gmail.com,gmail,com,19,2,gretchen,8,1,0,0,1,1,33,2,91,old
emily_smith2006@outlook.com,outlook,com,15,2,emily,5,0,1,0,0,1,2006,4,18,young
Olaf_Marks64@gmail.com,gmail,com,12,2,olaf,4,0,1,0,1,1,64,2,60,old
peter.jackson@aol.com,aol,com,13,2,peter,5,1,0,0,0,0,-1,0,-1,unsure
simon.ward@protonmail.com,protonmail,com,10,2,simon,5,1,0,0,0,0,-1,0,-1,unsure
Buck.Mohr@gmail.com,gmail,com,9,2,buck,4,1,0,0,1,0,-1,0,-1,unsure
Carolina.Zieme66@aol.com,aol,com,16,2,carolina,8,1,0,0,1,1,66,2,58,old
daniel1998_scott@outlook.com,outlook,com,16,2,daniel,6,0,1,0,0,1,1998,4,26,young
zoe7548_anderson@protonmail.com,protonmail,com,16,2,zoe,3,0,1,0,0,1,7548,4,-1,unsure
daniel.scott80@outlook.com,outlook,com,14,2,daniel,6,1,0,0,0,1,80,2,44,medium
Frances.Zulauf@gmail.com,gmail,com,14,2,frances,7,1,0,0,1,0,-1,0,-1,unsure
Percy92@protonmail.com,protonmail,com,7,1,percy,5,0,0,0,1,1,92,2,32,medium
hannah.james1741@gmail.com,gmail,com,16,2,hannah,6,1,0,0,0,1,1741,4,-1,unsure
chloe872_flare@gmail.com,gmail,com,14,2,chloe,5,0,1,0,0,1,872,3,-1,unsure
susan.young@gmail.com,gmail,com,11,2,susan,5,1,0,0,0,0,-1,0,-1,unsure
dylan1990_richards@gmail.com,gmail,com,18,2,dylan,5,0,1,0,0,1,1990,4,34,medium
andrew1994_turner@hotmail.com,hotmail,com,17,2,andrew,6,0,1,0,0,1,1994,4,30,medium
elijah_6230@gmail.com,gmail,com,11,1,elijah,6,0,1,0,0,1,6230,4,-1,unsure
mason_watson2004@hotmail.com,hotmail,com,16,2,mason,5,0,1,0,0,1,2004,4,20,young
Bertha.Vandervort54@outlook.com,outlook,com,19,2,bertha,6,1,0,0,1,1,54,2,70,old
daniel_king1998@gmail.com,gmail,com,15,2,daniel,6,0,1,0,0,1,1998,4,26,young
Kamryn59@icloud.com,icloud,com,8,1,kamryn,6,0,0,0,1,1,59,2,65,old
Maud.Satterfield@gmail.com,gmail,com,16,2,maud,4,1,0,0,1,0,-1,0,-1,unsure
emma.walker@icloud.com,icloud,com,11,2,emma,4,1,0,0,0,0,-1,0,-1,unsure
mary.jones@outlook.com,outlook,com,10,2,mary,4,1,0,0,0,0,-1,0,-1,unsure
nancy.baker@outlook.com,outlook,com,11,2,nancy,5,1,0,0,0,0,-1,0,-1,unsure
daniel_taylor1988@outlook.com,outlook,com,17,2,daniel,6,0,1,0,0,1,1988,4,36,medium
Nestor.Hahn52@gmail.com,gmail,com,13,2,nestor,6,1,0,0,1,1,52,2,72,old
sophia.brown1684@gmail.com,gmail,com,16,2,sophia,6,1,0,0,0,1,1684,4,-1,unsure
Joel32@outlook.com,outlook,com,6,1,joel,4,0,0,0,1,1,32,2,92,old
Domenic_Hudson95@gmail.com,gmail,com,16,2,domenic,7,0,1,0,1,1,95,2,29,young
david2097@hotmail.com,hotmail,com,9,1,david,5,0,0,0,0,1,2097,4,-1,unsure
Lamont37@gmail.com,gmail,com,8,1,lamont,6,0,0,0,1,1,37,2,87,old
ethan.white02@protonmail.com,protonmail,com,13,2,ethan,5,1,0,0,0,1,2,2,22,young
Cheyanne.Rippin@aol.com,aol,com,15,2,cheyanne,8,1,0,0,1,0,-1,0,-1,unsure
Darrel_Roberts15@protonmail.com,protonmail,com,16,2,darrel,6,0,1,0,1,1,15,2,-1,unsure
edward.king@protonmail.com,protonmail,com,11,2,edward,6,1,0,0,0,0,-1,0,-1,unsure
nathan.martin04@gmail.com,gmail,com,15,2,nathan,6,1,0,0,0,1,4,2,20,young
daniel.wood@outlook.com,outlook,com,11,2,daniel,6,1,0,0,0,0,-1,0,-1,unsure
Sunny_Nader@yahoo.com,yahoo,com,11,2,sunny,5,0,1,0,1,0,-1,0,-1,unsure
Erling_Runolfsdottir@outlook.com,outlook,com,20,2,erling,6,0,1,0,1,0,-1,0,-1,unsure
